物料號,物料組,默認單位,物料名稱,成本價
6934177726224,生活家電,PCS,小米 米家智慧空氣循環扇,0
6934177726361,生活周邊,PCS,小米 米家16合1棘輪螺絲起子,0
6934177726422,生活家電,PCS,小米 米家無線吸塵器G10/G9 HEPA 濾芯套裝,0
6934177727269,手機,PCS,小米10T Lite 5G (6G+128G) 玫瑰金,8800
6934177727276,手機,PCS,小米10T Lite 5G (6G+128G) 海洋藍,0
6934177727283,手機,PCS,小米10T Lite 5G (6G+128G) 珍珠灰,0
6934177727320,手機,PCS,小米 紅米 Note 9T 5G 128GB 日暮黑,0
6934177727337,手機,PCS,小米 紅米 Note 9T 5G 64GB 日暮黑,0
6934177727344,手機,PCS,小米 紅米 Note 9T 5G 128GB 晨曦紫,0
6934177727351,手機,PCS,小米 紅米 Note 9T 5G 64GB 晨曦紫,0
6934177727412,手機,PCS,小米10T Pro?5G 256G 極光藍,0
6934177727443,手機,PCS,小米10T Pro?5G 256G 宇宙黑,0
6934177728501,生活家電,PCS,小米 米家無線吸塵器 G9,0
6934177728525,生活家電,PCS,小米 米家螢幕掛燈,0
6934177728587,生活家電,PCS,小米 米家吸頂燈350,0
6934177731372,手機,PCS,小米 11 5G (8G+256G) 白,0
6934177733932,手機,PCS,小米 11 5G (8G+256G) 灰,0
6934177733963,手機,PCS,小米 11 5G (8G+256G) 藍,0
6934177736377,生活周邊,PCS,小米手環6,950
6970995780499,洗地機,PCS,小米 石頭掃地機器人(全配大禮包),0
6970995780420,洗地機,PCS,小米 石頭掃地機器人白色,0
6970995780703,清潔用品,PCS,小米 石頭掃地機器人配件抹布（2塊裝）,0
6970995780710,清潔用品,PCS,小米 石頭掃地機器人配件塵盒可水洗濾網（2個裝）,0
6970995780727,清潔用品,PCS,小米 石頭掃地機器人水箱濾芯組,0
6971036010186,生活家電,PCS,小米知吾煮抗摔玻璃保鮮盒715ml,0
6971036010209,生活家電,PCS,小米 知吾煮湯鍋 米家定制,0
