X Field,X軸欄位
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-
AMC Expiry Date,年底維保契約到期日
ap-northeast-1,AP-東北-1
ap-northeast-2,AP-東北-2
ap-northeast-3,AP-東北-3
ap-southeast-1,AP-東南-1
ap-southeast-2,AP-東南-2
ap-south-1,AP-南1
API,API
API Token,API令牌
API Password,API密碼
API Key,API金鑰
API Key cannot be  regenerated,API金鑰無法重新生成
API Secret,API密碼
API consumer key,API消費者金鑰
API consumer secret,API消費者密碼
API Username,API使用者名稱
API Endpoint,API端點
API Endpoint Args,API端點參數
ASC,升序
ASC-,ASC-
AU,AU
AWS Access Key ID,AWS訪問金鑰ID
B+,B +
B Positive,B+
B Negative,B-
B-,B-
B2C Limit,B2C限制
BCC,BCC
BOM Explorer,BOM Explorer
BOM recursion: {0} cannot be parent or child of {2},BOM {0}不能是{2}的上級或下級
BOM {0} does not belong to Item {1},BOM{0}不屬於物料{1}
BOM {0} must be active,BOM{0}必須處於生效狀態
BOM {0} must be submitted,BOM{0}未提交
BOM does not contain any stock item,BOM不包含任何庫存物料
BOM and Manufacturing Quantity are required,BOM和生產量是必需的
BOM Explosion Item,BOM底層物料
BOM Operation,BOM工序
BOM Variance Report,BOM差異報表
BOM Stock Report,BOM庫存齊套報表
BOM Stock Calculated,BOM庫存計算
BOM Scrap Item,BOM廢料
BOM Search,物料用途查詢(用在哪個物料清單中)
BOM Update Tool,物料清單批次更新工具
BOM Browser,BOM瀏覽器
BOM Item,BOM明細
BOM Rate,BOM稅率
BOM Website Operation,展示在網站上的BOM工序
BOM Website Item,展示在網站上的BOM物料
BOM recursion: {0} cannot be parent or child of {1},BOM遞迴：{0}不能是{1}的父級或子級
BR,BR
BankAccount.validate_iban() failed for valid IBAN {},BankAccount.validate_iban（）因有效IBAN {}失敗
BankAccount.validate_iban() failed for empty IBAN,BankAccount.validate_iban（）因空IBAN而失敗
BankAccount.validate_iban() accepted invalid IBAN {},BankAccount.validate_iban（）接受了無效的IBAN {}
Beta,Beta版
Braintree payment gateway settings,Braintree支付網關設定
Braintree Settings,Braintree設定
By,By
C-form is not applicable for Invoice: {0},C-形式不適用發票：{0}
C-Form Invoice Detail,C-形式發票詳細資訊
C-Form,C-表
C-Form Applicable,C-表格適用
C-Form No,C-表編號
C-Form records,C-表記錄
CA,CA
Path to CA Certs File,CA Certs文件的路徑
ca-central-1,CA-中央-1
CC,CC
CEO,CEO
CESS Account,CESS科目
CESS Amount,CESS金額
CGST Account,CGST帳戶
CGST Amount,CGST金額
CN,CN
cn-north-1,CN  - 北 -  1
cn-northwest-1,CN-西北-1
cog,COG
CRM,CRM
CRM-LEAD-.YYYY.-,CRM-LEAD-.YYYY.-
CRM-OPP-.YYYY.-,CRM-OPP-.YYYY.-
CSS,CSS
CSV,CSV
The CSV format is case sensitive,CSV格式區分大小寫
Invalid CSV Format,CSV格式無效
CUST-.YYYY.-,CUST-.YYYY.-
Chargeble,Chargeble
Ctrl+Enter to add comment,Ctrl + Enter 新增評論
DATEV,DATEV
DE,DE
DESC,倒序
Dadra and Nagar Haveli,Dadra和Nagar Haveli
Defense,Defense
Doc Date,Doc Date
DocType must be Submittable for the selected Doc Event,DocType必須為所選Doc事件提交
Doctype required,Doctype需要
Dropbox Access Key,Dropbox的Key
Dropbox backup settings,Dropbox的備份設定
Dropbox Access Secret,Dropbox的密碼
Dropbox Settings,Dropbox的設定
Dropbox Setup,Dropbox的設定
Dropbox access is approved!,Dropbox的訪問被批准！
Dropbox Access Token,Dropbox訪問令牌
EAN,EAN
EDU-APP-.YYYY.-,EDU-APP-.YYYY.-
EDU-CSH-.YYYY.-,EDU-CSH-.YYYY.-
EDU-FSH-.YYYY.-,EDU-FSH-.YYYY.-
EDU-FST-.YYYY.-,EDU-FST-.YYYY.-
EDU-INS-.YYYY.-,EDU-INS-.YYYY.-
EDU-STU-.YYYY.-,EDU-STU-.YYYY.-
EDU-FEE-.YYYY.-,EDU-收費.YYYY.-
EMI,EMI
ERPNext Settings,設定
ERPNext Company,ERPNext公司
ERPNext could not find any matching payment entry,ERPNext未找到任何匹配的收付款憑證
ERPNext Demo,ERPNext示範
ERPNext User,ERPNext用戶
ERPNext User ID,ERPNext用戶ID
ERPNext Account,ERPNext科目
ERPNext Setup Complete!,ERPNext設定完成！
ERPNext Integrations,ERPNext集成
ES,ES
eu-central-1,EU-中央-1
Eway Bill,Eway Bill
Excel,Excel
Excel,Excel
Excise Entry,消費稅分錄
Excise Page Number,Excise頁碼
Exotel Settings,Exotel設定
FCFS Rate,FCFS率
Fieldtype {0} for {1} cannot be unique,FIELDTYPE {0} {1}不能是唯一的
Fieldtype {0} for {1} cannot be indexed,FIELDTYPE {0} {1}不能進行索引
FR,FR
Fw: {0},FW：{0}
Facebook,Facebook
Fichier des Ecritures Comptables [FEC],Fichier des Ecritures Comptables [FEC]
Folio no.,Folio no。
Frappe,Frappe
Frappe Framework,Frappe框架
GCalendar Sync ID,GCalendar同步ID
GCalendar Account,GCalendar帳戶
GCalendar is not configured.,GCalendar未配置。
GCalendar Settings,GCalendar設定
Geo,GEO
GMail,GMail
GST HSN Code,GST HSN代碼
GSTIN,GSTIN
Invalid GSTIN! A GSTIN must have 15 characters.,GSTIN無效！ GSTIN必須有15個字元。
Invalid GSTIN! First 2 digits of GSTIN should match with State number {0}.,GSTIN無效！ GSTIN的前2位數字應與州號{0}匹配。
Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,GSTIN無效！您輸入的輸入與GSTIN的格式不匹配。
Invalid GSTIN! The input you've entered doesn't match the GSTIN format for UIN Holders or Non-Resident OIDAR Service Providers,GSTIN無效！您輸入的輸入與UIN持有人或非居民OIDAR服務提供商的GSTIN格式不符
First 2 digits of GSTIN should match with State number {0},GSTIN的前2位數字應與狀態號{0}匹配
GSTR 3B Report,GSTR 3B報告
GSTR-1,GSTR-1
GSTR-2,GSTR-2
GSTR3B-Form,GSTR3B表格
GST State Number,GST州號
GST Itemised Purchase Register,GST物料採購台帳
GST Account,GST科目
GST Accounts,GST科目
GST Settings,GST設定
GSuite Document,GSuite文件
GSuite Templates,GSuite模板
GSuite test executed with success. GSuite integration is correctly configured,GSuite測試執行成功。 GSuite集成配置正確
GSuite script test,GSuite腳本測試
GSuite Settings,GSuite設定
GitHub,GitHub
GitHub ID,GitHub ID
GitHub Sync ID,GitHub同步ID
GoCardless SEPA Mandate,GoCardless SEPA授權
GoCardless Mandate,GoCardless任務
GoCardless Customer,GoCardless客戶
GoCardless payment gateway settings,GoCardless支付網關設定
GoCardless Settings,GoCardless設定
Google API Credentials,Google API憑證
Google API Settings.,Google API設定。
Google Apps Script,Google Apps腳本
Google GSuite is not configured.,Google GSuite未配置。
Google GSuite Templates to integration with DocTypes,Google GSuite模板與DocTypes集成
Google Credentials,Google憑據
Docs Search,Google單據搜索
Google Maps integration,Google地圖集成
Google Maps integration is not enabled,Google地圖集成未啟用
Google Calendar ID,Google日曆ID
Google Services,Google服務
Google Contacts Integration is disabled.,Google聯絡人集成已停用。
Google Settings,Google設定
Google Contacts,Google通訊錄
Google Contacts Description,Google通訊錄說明
Google Contacts Integration.,Google通訊錄集成。
Guardian1 Name,Guardian1名稱
Guardian1 Mobile No,Guardian1手機號碼
Guardian1 Email ID,Guardian1電子郵件ID
Guardian2 Name,Guardian2名稱
Guardian2 Mobile No,Guardian2手機號碼
Guardian2 Email ID,Guardian2電子郵件ID
HLC-CPR-.YYYY.-,HLC-CPR-.YYYY.-
HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
HLC-INP-.YYYY.-,HLC-INP-.YYYY.-
HLC-LT-.YYYY.-,HLC-LT-.YYYY.-
HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
HLC-SC-.YYYY.-,HLC-SC-.YYYY.-
HR,HR
HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-。MM.-
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM。
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-
HR-DRI-.YYYY.-,HR-DRI-.YYYY.-
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
HR-EMP-,HR-EMP-
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
HR-LAL-.YYYY.-,HR-LAL-.YYYY.-
HR-LAP-.YYYY.-,HR-LAP-.YYYY.-
HR-VLOG-.YYYY.-,HR-VLOG，.YYYY.-
HRA Exemption,房租津貼減免
HRA as per Salary Structure,基於薪資結構的房租津貼
HRA Component,房租津貼
HRA Settings,房租津貼設定
HSN,HSN
HSN/SAC,HSN / SAC
HSN Code,HSN代碼
HTML,HTML
HTML,HTML
Employees HTML,HTML員工
Help HTML,HTML幫助
HTML / Banner that will show on the top of product list.,HTML或橫幅，將顯示在產品列表的頂部。
"HTML Header, Robots and Redirects",HTML標頭，機器人和重定向
Letter Head in HTML,列印表頭HTML
Modules HTML,HTML模組
HTML for header section. Optional,HTML的標題區。可選
HTML Editor,HTML編輯器
HTML Editor,HTML編輯器
HTML Header & Robots,HTML頁首和機器人
Hub,集市(Hub)網站
Hub Warehouse,集市(Hub)網站倉庫
Hub Publishing Details,集市(Hub)網站發布詳情
Hub Users,集市(Hub)網站用戶
Hub Node,Hub節點
Hub Tracked Item,集市(Hub)網站跟蹤物料
IBAN,IBAN
IBAN is not valid,IBAN無效
ID,ID
Idx,IDX
ID field is required to edit values using Report. Please select the ID field using the Column Picker,ID欄位是必須的編輯使用報表值。使用列選擇器請選擇ID欄位
IFSC Code,IFSC代碼
IGST Account,IGST科目
IGST Amount,IGST金額
III,III
INR,INR
IP Address,IP位址
IRS 1099,IRS 1099
Inward supplies from ISD,ISD的內向供應
ISO 8601 standard,ISO 8601標準
ISS-,ISS-
ISS-.YYYY.-,ISS-.YYYY.-
ITC Available (whether in full op part),ITC可用（無論是全部操作部分）
ITC Reversed,ITC逆轉
IV,IV
InnoDB,InnoDB
Invalid {0} for Inter Company Transaction.,Inter Company Transaction無效{0}。
JP,J.P
JS,JS
Js,JS
JSON,JSON
JSON Output,JSON輸出
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},JavaScript格式：frappe.query_reports ['REPORTNAME'] = {}
JavaScript,JavaScript的
Javascript,Javascript
John Doe,John Doe
LDAP First Name Field,LDAP 姓名欄位
LDAP Security,LDAP安全性
LDAP Search String,LDAP搜索字串
"LDAP Search String needs to end with a placeholder, eg sAMAccountName={0}",LDAP搜索字串需要以占位符結束，例如sAMAccountName = {0}
LDAP Server Url,LDAP伺服器URL
LDAP is not enabled.,LDAP未啟用。
LDAP Not Installed,LDAP未安裝
LDAP Username Field,LDAP使用者名稱欄位
LDAP Email Field,LDAP電子郵件欄位
LDAP Settings,LDAP設定
LInked Analysis,LInked分析
LMS User,LMS用戶
Interviewer,面試官
LP-,LP-
LabTest Approver,LabTest審批者
Lakshadweep Islands,Lakshadweep群島
Lft,Lft
Logo,Logo
MAT-DN-.YYYY.-,MAT-DN-.YYYY.-
MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
MAT-INS-.YYYY.-,MAT-INS-.YYYY.-
MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
MAT-MR-.YYYY.-,MAT-MR-.YYYY.-
MAT-MSH-.YYYY.-,MAT-MSH-.YYYY.-
MAT-MVS-.YYYY.-,MAT-MVS-.YYYY.-
MAT-PAC-.YYYY.-,MAT-PAC-.YYYY.-
MAT-PRE-.YYYY.-,MAT-PRE-.YYYY.-
MAT-QA-.YYYY.-,MAT-QA-.YYYY.-
MAT-RECO-.YYYY.-,MAT-RECO-.YYYY.-
MAT-STE-.YYYY.-,MAT-STE-.YYYY.-
MFG-BLR-.YYYY.-,MFG-BLR-.YYYY.-
MFG-PP-.YYYY.-,MFG-PP-.YYYY.-
MFG-WO-.YYYY.-,MFG-WO-.YYYY.-
MWS Auth Token,MWS Auth Token
MWS Credentials,MWS憑證
MX,MX
Mx,MX
Markdown,Markdown
Markdown Editor,Markdown編輯
Meetup Embed HTML,Meetup嵌入HTML
Memebership Type Details,Memebership類型詳細資訊
Memebership Details,Memebership細節
Min Amt can not be greater than Max Amt,最小金額不能大於最大金額
MyISAM,MyISAM資料
NPO-MEM-.YYYY.-,NPO-MEM-.YYYY.-
No,No
O+,O +
O Positive,O+
O Negative,O-
O-,O-
OAuth Client,OAuth用戶端
OAuth Bearer Token,OAuth的承載令牌
OAuth Authorization Code,OAuth的授權碼
OAuth Provider Settings,OAuth的提供商設定
ODC,ODC
OP Consulting Charge,OP諮詢費
OTP Secret has been reset. Re-registration will be required on next login.,OTP Secret已被重設。下次登錄時需要重新註冊。
OTP Issuer Name,OTP發行人名稱
OTP App,OTP應用程式
OTP secret can only be reset by the Administrator.,OTP秘密只能由管理員重設。
Office 365,Office 365
Opp/Lead %,Opp / Lead％
Outlook.com,Outlook.com
PAN,PAN
PDF,PDF
PDF generation failed,PDF生成失敗
PDF generation failed because of broken image links,PDF生成，因為破碎的圖像連結失敗
PDF Settings,PDF設定
PDF Page Size,PDF頁面大小
Pincode,PIN代碼
Pin Code,PIN碼
PMO-,PMO-
POS,POS
Territory is Required in POS Profile,銷售點設定中區域欄位必填
Customer Group is Required in POS Profile,POS Profile中需要客戶組
POS-CLO-,POS-CLO-
POS Closing Voucher,POS關閉憑證
POS Closing Voucher Invoices,POS關閉憑證發票
POS Closing Voucher Taxes,POS關閉憑證稅
POS Closing Voucher Details,POS關閉憑證詳細資訊
POS Customer Group,POS客戶組
POS Item Group,POS物料組
POS Profile,POS設定
POS Settings,POS設定
Point-of-Sale Profile,POS配置
POS Profile Name,POS配置檔案名稱
POS Profile User,POS配置文件用戶
Setup mode of POS (Online / Offline),POS（在線/離線）的設定模式
PR sent,PR發送
PR Detail,PR資訊
PU-SSP-.YYYY.-,PU-SSP-.YYYY.-
PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
PUR-RFQ-.YYYY.-,PUR-RFQ-.YYYY.-
PUR-SQTN-.YYYY.-,PUR-SQTN-.YYYY.-
Parenttype,Parenttype
Parent is the name of the document to which the data will get added to.,Parent是將資料新增到的單據的名稱。
Patinet Service Unit,Patinet服務單位
Prevdoc DocType,Prevdoc的DocType
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip：新增<code>Reference: {{ reference_doctype }} {{ reference_name }}</code>發送單據引用
Python Module,Python模組
Pyver,Pyver
Expiry time of QR Code Image Page,QR碼圖像頁面的到期時間
QZ Tray Failed: ,QZ托盤失敗：
QZ Tray Connection Active!,QZ托盤連接有效！
QuickBooks Migrator,QuickBooks Migrator
Quickbooks Company ID,Quickbooks公司ID
A qustion must have at least one correct options,Qustion必須至少有一個正確的選項
Reqd,REQD
Rgt,RGT
rgt,RGT
Razorpay Payment gateway settings,Razorpay支付網關設定
Razorpay Settings,Razorpay設定
Rechedule,Rechedule
Redis cache server not running. Please contact Administrator / Tech support,Redis快取伺服器無法運行。請聯絡管理員/技術支援
Round Robin,Round Robin
S3 Backup complete!,S3備份完成！
S3 Backup Settings,S3備份設定
sa-east-1,SA-東1
SAL-CAM-.YYYY.-,SAL-CAM-.YYYY.-
SAL-ORD-.YYYY.-,SAL-ORD-.YYYY.-
SAL-QTN-.YYYY.-,SAL-QTN-.YYYY.-
SER-WRN-.YYYY.-,SER-WRN-.YYYY.-
SEZ,SEZ
SGST Account,SGST帳戶
SGST Amount,SGST金額
SG Creation Tool Course,SG創建工具課程
SMTP Server,SMTP伺服器
"SQL Conditions. Example: status=""Open""",SQL條件。例如：status='Open'，字串引號請使用英文半形的單引號
SSL/TLS Mode,SSL / TLS模式
STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
SUB-,SUB-
SUP-.YYYY.-,SUP-.YYYY.-
SWIFT Number,SWIFT號碼
SWIFT number,SWIFT號碼
Sendgrid,Sendgrid
Shopify Webhook Detail,Shopify Webhook詳細資訊
Shopify Supplier,Shopify供應商
Shopify Log,Shopify日誌
Shopify Tax/Shipping Title,Shopify稅/運輸標題
Shopify Tax Account,Shopify稅收科目
Shopify Settings,Shopify設定
Skype,Skype
Slack Webhooks for internal integration,Slack Webhooks用於內部集成
Slack Webhook URL,Slack Webhook網址
Slack Webhook Error,Slack Webhook錯誤
Slack,Slack(即時通訊工具）
Slack Channel,Slack頻道
Socketio is not connected. Cannot upload,Socketio未連接。無法上傳
SparkPost,SparkPost
Stripe payment gateway settings,Stripe支付網關設定
Stripe Settings,Stripe設定
Suplier,Suplier
TDS Payable Monthly,每月應付代扣所得稅
TDS Rate %,代扣所得稅率％
TDS Computation Summary,代扣所得稅摘要
TS-,TS-
TS-.YYYY.-,TS-.YYYY.-
Test_Folder,Test_Folder
Treshold {0}% appears more than once,Treshold {0}出現％不止一次
UID,UID
uid,UID
UIDNEXT,UIDNEXT
UIDVALIDITY,UIDVALIDITY
UOM Conversion in Hours,UOM按小時轉換
UOM Category,UOM類別
UPC-A,UPC-A
Redirect URL,URL重定向
Varaiance ,Varaiance
Variant Based On cannot be changed,Variant Based On無法更改
Verdana,Verdana
Vimeo,Vimeo的
chevron-up,V形向上
chevron-down,V形向下
chevron-right,V形向右
chevron-left,V形向左
Webhook ID,Webhook ID
Webhook URL,Webhook URL
Webhooks Secret,Webhooks的秘密
Webhooks Details,Webhooks詳細資訊
Webhooks calling API requests into web apps,Webhook將API請求調用到Web應用程式中
Webhook Data,Webhook資料
Webhook Header,Webhook標題
Webhook Headers,Webhook標題
Webhook Request,Webhook請求
Web Form,Web表單
Web Form Field,Web表單欄位
Web Form Fields,Web表單欄位
Web View,Web視圖
"Field ""route"" is mandatory for Web Views",Web視圖必須使用欄位“路由”
WooCommerce Products,WooCommerce產品
Woocommerce Server URL,Woocommerce伺服器URL
Woocommerce Settings,Woocommerce設定
XLSX,XLSX
X Axis Field,X軸欄位
Y,Y
Yandex.Mail,Yandex.Mail
YouTube,YouTube的
Y Axis Fields,Y軸欄位
[{0}](#Form/Item/{0}) is out of stock,[{0}](#Form/Item/{0}) 超出了庫存
[Label]:[Field Type]/[Options]:[Width],[標籤]：[欄位類型] / [選項]：[寬]
[Urgent] Error while creating recurring %s for %s,[緊急]為％s創建循環％s時出錯
[Select],[選擇]
[Error],[錯誤]
_doctype,_doctype
_report,_報表
`Freeze Stocks Older Than` should be smaller than %d days.,`凍結老於此天數的庫存`應該比％d天小。
after_insert,after_insert
credit_note_amt,credit_note_amt
debit_note_amt,debit_note_amt
download-alt,download-alt
e-Way Bill JSON can only be generated from a submitted document,e-Way Bill JSON只能從提交的單據中生成
e-Way Bill JSON can only be generated from submitted document,e-Way Bill JSON只能從提交的單據中生成
e-Way Bill JSON can only be generated from Sales Invoice,e-Way Bill JSON只能從銷售發票中生成
e-Way Bill already exists for this document,e-Way Bill已存在於本文件中
eject,eject
envelope,envelope
eye-close,eye-close
eye-open,eye-open
facetime-video,facetime-video
fairlogin,fairlogin
film,film
fire,fire
flag,flag
font,font
fullscreen,fullscreen
gift,gift
glass,glass
globe,globe
hand-down,hand-down
hand-left,hand-left
hand-right,hand-right
hand-up,hand-up
hdd,hdd
indent-left,indent-left
indent-right,indent-right
info-sign,info-sign
italic,italic
john@doe.com,john@doe.com
leaf,leaf
list-alt,list-alt
lock,lock
lowercase,lowercase
magnet,magnet
map-marker,map-marker
material_request_item,material_request_item
minus-sign,minus-sign
off,off
ok,ok
ok-circle,ok-circle
ok-sign,ok-sign
old_parent,old_parent
on_cancel,on_cancel
on_change,on_change
on_submit,on_submit
on_trash,on_trash
on_update,on_update
on_update_after_submit,on_update_after_submit
payment_url,payment_url
refresh_token,refresh_token
screenshot,screenshot
share-alt,share-alt
signal,signal
star-empty,star-empty
step-backward,step-backward
step-forward,step-forward
"target = ""_blank""","target = ""_blank"""
th,th
th-large,th-large
th-list,th-list
uidnext,uidnext
user@example.com,user@example.com
 for {0},{0}
Hi {0},{0}
To {0},{0}
{0} - {1} is inactive student,{0}  -  {1}是非活動學生
{0} - {1} is not enrolled in the Course {2},{0}  -  {1}未加入課程{2}
{0} - {1} is not enrolled in the Batch {2},{0}  -  {1}未註冊為批號{2}
{0} Google Contacts synced.,{0} Google通訊錄同步。
{0} units of [{1}](#Form/Item/{1}) found in [{2}](#Form/Warehouse/{2}),{0} [{1}]的單位（＃窗體/項目/ {1}）在[{2}]研究發現（＃窗體/倉儲/ {2}）
{0} for {1},{0} {1}
{0} appreciation points for {1} {2},{0} {1} {2}的升值點
{0} appreciation point for {1} {2},{0} {1} {2}的按讚數
{0} {1} to {2},{0} {1} 到 {2}
{0} {1} is closed,{0} {1} 已關閉
